ERROR: logging before google.Init: I0817 18:50:50.395433       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 18:50:50.395498       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 18:50:50.395665       8 server.go:1464] Starting language server process with pid 913052
ERROR: logging before google.Init: I0817 18:50:50.396016       8 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 18:50:50.396027       8 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 18:50:50.396379       8 server.go:588] Language server listening on random port at 46611 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 18:50:50.396441       8 server.go:596] Language server listening on random port at 33207 for HTTP
ERROR: logging before google.Init: E0817 18:50:50.599716      45 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 18:50:50.601002      45 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 18:50:50.609291       8 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:50:50.609395       8 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:50:50.609580       8 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:50:50.609617       8 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:50:50.610353       8 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:50:50.610425       8 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:50:50.610539       8 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:50:50.610570       8 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:50:50.610695       8 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:50:50.610740       8 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:50:50.610836       8 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:50:50.610864       8 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
