ERROR: logging before google.Init: I0817 20:50:15.103056       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 20:50:15.103135       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 20:50:15.103314      23 server.go:1464] Starting language server process with pid 941441
ERROR: logging before google.Init: I0817 20:50:15.103620      23 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 20:50:15.103629      23 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 20:50:15.103961      23 server.go:588] Language server listening on random port at 41525 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 20:50:15.104018      23 server.go:596] Language server listening on random port at 42093 for HTTP
ERROR: logging before google.Init: E0817 20:50:15.310513      38 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 20:50:15.310624      38 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 20:50:15.318871      23 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:50:15.318988      23 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:50:15.319196      23 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:50:15.319246      23 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:50:15.320018      23 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:50:15.320084      23 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:50:15.320238      23 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:50:15.320275      23 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:50:15.320420      23 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:50:15.322084      23 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:50:15.322378      23 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:50:15.322429      23 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:50:15.323079      23 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0817 20:50:15.331533      23 defaults.go:759] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0817 20:50:15.331601      23 manager.go:98] Creating trajectory store manager with proto store and SQLite store
