ERROR: logging before google.Init: I0817 20:10:08.076834       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 20:10:08.076952       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 20:10:08.077322      24 server.go:1464] Starting language server process with pid 931848
ERROR: logging before google.Init: I0817 20:10:08.077821      24 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 20:10:08.077834      24 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 20:10:08.078799      24 server.go:588] Language server listening on random port at 33541 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 20:10:08.078873      24 server.go:596] Language server listening on random port at 39291 for HTTP
ERROR: logging before google.Init: E0817 20:10:08.291386      36 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 20:10:08.291475      36 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 20:10:08.294797      24 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.294883      24 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:10:08.295061      24 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.295109      24 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:10:08.295620      24 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.295662      24 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:10:08.295761      24 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.295784      24 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:10:08.295961      24 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.295996      24 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:10:08.296080      24 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.296130      24 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:10:08.296491      56 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.296536      56 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 20:10:08.296627      56 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 20:10:08.296666      56 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
