ERROR: logging before google.Init: I0817 12:27:17.426274       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 12:27:17.426336       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 12:27:17.426524       9 server.go:1464] Starting language server process with pid 823990
ERROR: logging before google.Init: I0817 12:27:17.426814       9 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 12:27:17.426822       9 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 12:27:17.427162       9 server.go:588] Language server listening on random port at 44191 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 12:27:17.427222       9 server.go:596] Language server listening on random port at 42717 for HTTP
ERROR: logging before google.Init: E0817 12:27:17.670102      43 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 12:27:17.670222      43 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 12:27:17.674524       9 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.674636       9 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.674801       9 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.674845       9 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.675540       9 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.675605       9 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.675736       9 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.675797       9 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.676002       9 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.676052       9 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.676164       9 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.676198       9 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.678190      46 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.678265      46 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.678380      46 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.678427      46 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.679789       9 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0817 12:27:17.685428      47 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.685531      47 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.685654      47 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.685690      47 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.686220      48 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.686276      48 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.686356      48 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.686384      48 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.686809      50 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.686867      50 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.686947      50 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.686977      50 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.692678       9 defaults.go:759] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0817 12:27:17.692731       9 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: I0817 12:27:17.704520      80 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0817 12:27:17.704584      80 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0817 12:27:17.704617      80 manager.go:87] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 12:27:17.704628      80 manager.go:78] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0817 12:27:17.704636      80 manager.go:87] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 12:27:17.716929       9 server.go:2773] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0817 12:27:17.717087       9 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 12:27:17.717218       9 server.go:2779] State refresh took 0ms
ERROR: logging before google.Init: I0817 12:27:17.717253       9 server.go:2793] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0817 12:27:17.717260       9 server.go:2795] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0817 12:27:17.717265       9 server.go:3054] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0817 12:27:17.717282       9 profiler.go:154] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0817 12:27:17.717659       9 server.go:2307] initialized server successfully in 291.09089ms
ERROR: logging before google.Init: W0817 12:27:17.718182      83 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.718253      83 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.718382      83 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.718409      83 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 12:27:17.718721       1 auto_updater.go:252] Last check was less than 15 minutes ago, skipping update (fast path)
ERROR: logging before google.Init: I0817 12:27:17.718813       1 common.go:170] Launching CLI mode
ERROR: logging before google.Init: E0817 12:27:17.718829       1 launchsteps.go:77] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0817 12:27:17.720310       1 common.go:208] CLI app data directory: /home/ubuntu/.gemini/antigravity-cli
ERROR: logging before google.Init: I0817 12:27:17.720348       1 server.go:270] Creating CLI server backend: product=antigravity workspaceDirs=[/home/ubuntu/portsentry-ui /home/ubuntu/portsentry-ui] appDataDir=/home/ubuntu/.gemini/antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0817 12:27:17.720434       1 composite_token_storage.go:123] Using file-based token storage because SSH session detected
ERROR: logging before google.Init: I0817 12:27:17.720457       1 auth_provider.go:734] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: I0817 12:27:17.770830       1 server.go:2693] GetConversationDetail: found conversation 459f153c-af03-4539-bcae-c85f20380b4f (active=false)
ERROR: logging before google.Init: I0817 12:27:17.772236       1 common.go:307] project: resuming conversation belonging to project ID: default-cli-project
ERROR: logging before google.Init: I0817 12:27:17.772461       1 common.go:320] project: synced active project to "CLI Project" (id=default-cli-project) from resumed conversation
ERROR: logging before google.Init: I0817 12:27:17.772480       1 server.go:1802] Backend project ID updated dynamically to: default-cli-project
ERROR: logging before google.Init: I0817 12:27:17.772503       1 analytics.go:138] CLI startup completed (took 347.598203ms)
ERROR: logging before google.Init: I0817 12:27:17.772527       1 printmode.go:160] Print mode: starting (promptLength=1825, model="gemini-3.7-flash-high", conversationID="459f153c-af03-4539-bcae-c85f20380b4f")
ERROR: logging before google.Init: I0817 12:27:17.772542       1 manager.go:386] Initializing CLI store manager for workspace /home/ubuntu/portsentry-ui
ERROR: logging before google.Init: I0817 12:27:17.772868       1 cli_setting_manager.go:145] applyUserSettings: no shared config permissions from /home/ubuntu/.gemini/config/config.json
ERROR: logging before google.Init: I0817 12:27:17.772901       1 cli_setting_manager.go:829] Skipping telemetry propagation because user is not logged in
ERROR: logging before google.Init: I0817 12:27:17.772908       1 cli_setting_manager.go:88] CLI settings initialized: permissions=&{Allow:[command(pm2) command(ls) command(grep) command(rm -f /home/ubuntu/.pm2/logs/feishu-bot* /home/ubuntu/.pm2/logs/agy-daemon*) command(ps) command(rm -rf /home/ubuntu/antigravity-feishu-bot) command(find /home/ubuntu -name "*feishu*" 2>/dev/null) command(git status) command(git log) command(git ls-files) command(git restore) command(cat) command(rm -f .update_pending.json) command(git diff) command(./venv/bin/pip install -r requirements.txt) command(find . -name "requirements.txt") command(./venv/bin/pip install -r plugins/multi_agent/requirements.txt) command(sleep) command(tail)] Deny:[] Ask:[]}, toolPermission=request-review
ERROR: logging before google.Init: W0817 12:27:17.773296     106 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.773349     106 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.773474     106 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.773498     106 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.773613     106 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.773650     106 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:27:17.773733     106 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:27:17.773753     106 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 12:27:17.774040       1 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
ERROR: logging before google.Init: I0817 12:27:17.774055       1 manager.go:559] CLI store manager initialized successfully
ERROR: logging before google.Init: I0817 12:27:17.774070       1 printmode.go:208] Print mode: --dangerously-skip-permissions set, auto-approving all tool permissions
ERROR: logging before google.Init: I0817 12:27:17.774084       1 printmode.go:440] Print mode: not authenticated, trying silent auth
ERROR: logging before google.Init: I0817 12:27:17.774246     138 keyring.go:81] keyringAuth: loaded token, expiry=2026-08-17 13:16:43.53216366 +0800 CST expired=false
ERROR: logging before google.Init: I0817 12:27:17.933243       1 auth.go:147] ChainedAuth: authenticated via keyring (effective: keyring)
ERROR: logging before google.Init: I0817 12:27:17.933288       1 server_oauth.go:189] applyAuthResult: email=system.level6@gmail.com, authMethod=consumer, quotaProject=
ERROR: logging before google.Init: I0817 12:27:17.933295       1 server_oauth.go:194] OAuth: authenticated successfully as system.level6@gmail.com
ERROR: logging before google.Init: I0817 12:27:17.933299       1 server_oauth.go:200] b.codeAssistClient.AuthProvider (0x25f611bdd1d0) is same as b.cliAuth (0x25f611bdd1d0)
ERROR: logging before google.Init: W0817 12:27:17.933615     149 cache.go:56] Cache(fetchBAICAdminControls): Singleflight refresh failed: admin controls not applicable
ERROR: logging before google.Init: E0817 12:27:17.933671     149 errorreport.go:223] admin controls not applicable
ERROR: logging before google.Init: W0817 12:27:17.933758     149 cache.go:79] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: W0817 12:27:17.933768     165 cache.go:79] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: E0817 12:27:18.867191      32 browser_context.go:179] failed to install playwright: could not install driver: could not install driver: error: got non 200 status code: 404 (404 Not Found) from https://playwright.azureedge.net/builds/driver/playwright-1.57.0-linux.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-akamai.azureedge.net/builds/driver/playwright-1.57.0-linux.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-verizon.azureedge.net/builds/driver/playwright-1.57.0-linux.zip
ERROR: logging before google.Init: I0817 12:27:19.306068       1 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x8a50d7d79b56f360
ERROR: logging before google.Init: I0817 12:27:20.043238       1 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x70c9bfb22c92c215
ERROR: logging before google.Init: I0817 12:27:20.053513       1 model_resolver.go:80] Resolving model gemini-3.7-flash-high
ERROR: logging before google.Init: I0817 12:27:20.053564       1 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.7 Flash (High)"
ERROR: logging before google.Init: I0817 12:27:20.053646     116 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0817 12:27:20.611616       1 printmode.go:442] Print mode: silent auth succeeded
ERROR: logging before google.Init: I0817 12:27:20.611737     117 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0817 12:27:20.837974     117 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0817 12:27:20.838122     245 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0817 12:27:21.742121     219 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x5ff4726d1ebef1eb
ERROR: logging before google.Init: I0817 12:27:23.115765     219 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x71b8377cfbbfd5a1
ERROR: logging before google.Init: I0817 12:27:23.304905     219 model_resolver.go:80] Resolving model gemini-3.7-flash-high
ERROR: logging before google.Init: I0817 12:27:23.304942     219 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.7 Flash (High)"
ERROR: logging before google.Init: I0817 12:27:23.305022     253 model_resolver.go:80] Resolving model gemini-3.7-flash-high
ERROR: logging before google.Init: I0817 12:27:23.305031     253 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.7 Flash (High)"
ERROR: logging before google.Init: I0817 12:27:23.305119     116 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0817 12:27:23.311976       1 model_resolver.go:80] Resolving model gemini-3.7-flash-high
ERROR: logging before google.Init: I0817 12:27:23.336990       1 server.go:2693] GetConversationDetail: found conversation 459f153c-af03-4539-bcae-c85f20380b4f (active=false)
ERROR: logging before google.Init: I0817 12:27:23.337996       1 printmode.go:324] Print mode: resuming conversation 459f153c-af03-4539-bcae-c85f20380b4f
ERROR: logging before google.Init: I0817 12:27:23.338020       1 conversation_manager.go:675] Streaming conversation 459f153c-af03-4539-bcae-c85f20380b4f
ERROR: logging before google.Init: I0817 12:27:23.338610       1 server.go:1083] Starting conversation update stream for 459f153c-af03-4539-bcae-c85f20380b4f
ERROR: logging before google.Init: I0817 12:27:23.338644       1 printmode.go:340] Print mode: conversation=459f153c-af03-4539-bcae-c85f20380b4f, sending message
ERROR: logging before google.Init: I0817 12:27:23.338663       1 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0817 12:27:23.340168       1 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0817 12:27:23.340234       1 conversation_manager.go:523] Forwarding user message to conversation 459f153c-af03-4539-bcae-c85f20380b4f (items=1, media=0)
ERROR: logging before google.Init: I0817 12:27:23.340243       1 server.go:1515] Sending user message to conversation 459f153c-af03-4539-bcae-c85f20380b4f (items=1, media=0)
ERROR: logging before google.Init: I0817 12:27:23.667684     275 manager.go:480] Ignoring IDLE update because we are waiting for RUNNING
ERROR: logging before google.Init: I0817 12:27:23.888151     117 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0817 12:27:23.990830     117 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0817 12:27:23.990972     554 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0817 12:27:23.992485     554 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0817 12:27:24.093704     543 model_resolver.go:80] Resolving model gemini-3.7-flash-high
ERROR: logging before google.Init: I0817 12:27:24.093748     543 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.7 Flash (High)"
ERROR: logging before google.Init: I0817 12:27:24.093967     116 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0817 12:27:24.670399     117 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0817 12:27:24.844477     117 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0817 12:27:24.844780     268 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0817 12:27:24.853011     268 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0817 12:27:25.375922     542 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x2c9c069b00e0d32a
ERROR: logging before google.Init: I0817 12:27:29.805341     548 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xfbfe954469fe53fe ResponseID: rI2Casu2I4_C0-kPs8CKmQg
ERROR: logging before google.Init: E0817 12:27:29.857955     566 grep_handler.go:582] app root path missing
ERROR: logging before google.Init: I0817 12:27:31.400283     588 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x8215193bd26da348 ResponseID: so2CasLEHrDH2roP79nEqAE
ERROR: logging before google.Init: I0817 12:27:32.896386     649 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd0a17561ff56548f ResponseID: tI2Cau_NAuWZ0-kPjPOQ2Q0
ERROR: logging before google.Init: I0817 12:27:35.389530     724 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x5badecb6da3a5763 ResponseID: tY2CatOkG8XNrfcPtdGwyQ8
ERROR: logging before google.Init: I0817 12:27:37.087299     779 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xc7d6bf193716d74c ResponseID: t42CasWZNrGZ0-kPpLvh8Ao
ERROR: logging before google.Init: E0817 12:27:37.141405     783 grep_handler.go:582] app root path missing
ERROR: logging before google.Init: I0817 12:27:39.980933     800 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xfeac266f029e5a8c ResponseID: uo2CarLMBI_C0-kPzreGiQM
ERROR: logging before google.Init: I0817 12:27:42.662748     885 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xef03acf7b22c95e6 ResponseID: vI2CaqSmEYr62roPq-K5oAo
ERROR: logging before google.Init: I0817 12:27:50.578745     924 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x8b46711a981b7a98 ResponseID: xI2CaqLJIaO20-kP64Os2A8
ERROR: logging before google.Init: I0817 12:27:52.154568     951 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x7ca5b76c3d7704c5 ResponseID: x42CatrxBu2Y0-kPrf2n-Qs
ERROR: logging before google.Init: I0817 12:27:55.349120    1059 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x908b428f8f974239 ResponseID: yI2Caqf7Goej2roP0rycgA0
ERROR: logging before google.Init: E0817 12:27:55.401992    1065 grep_handler.go:582] app root path missing
ERROR: logging before google.Init: I0817 12:27:56.941621    1078 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x58dcd2088c08a305 ResponseID: zI2Cas9t753T6Q_Ttakw
ERROR: logging before google.Init: I0817 12:28:00.320715    1153 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3c58070508ec8c43 ResponseID: zY2CavKsIcuM0-kPiarNiQI
