ERROR: logging before google.Init: I0817 19:32:38.454017       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 19:32:38.454071       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 19:32:38.454275      12 server.go:1464] Starting language server process with pid 922825
ERROR: logging before google.Init: I0817 19:32:38.454557      12 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 19:32:38.454564      12 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 19:32:38.454863      12 server.go:588] Language server listening on random port at 37387 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 19:32:38.454915      12 server.go:596] Language server listening on random port at 34127 for HTTP
ERROR: logging before google.Init: E0817 19:32:38.664380      31 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 19:32:38.664470      31 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 19:32:38.672576      12 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.672689      12 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.672864      12 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.672908      12 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.673650      12 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.673716      12 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.673829      12 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.673868      12 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.673996      12 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.674032      12 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.674146      12 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.674179      12 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.680152      53 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.680233      53 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.680331      53 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.680369      53 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.681059      12 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0817 19:32:38.682681      12 defaults.go:759] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0817 19:32:38.682722      12 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: I0817 19:32:38.683317      71 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0817 19:32:38.683362      71 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0817 19:32:38.683388      71 manager.go:87] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 19:32:38.683398      71 manager.go:78] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0817 19:32:38.683407      71 manager.go:87] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 19:32:38.693430      12 server.go:2773] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0817 19:32:38.693559      12 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 19:32:38.693647      12 server.go:2779] State refresh took 0ms
ERROR: logging before google.Init: I0817 19:32:38.693685      12 server.go:2793] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0817 19:32:38.693692      12 server.go:2795] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0817 19:32:38.693696      12 server.go:3054] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0817 19:32:38.693706      12 profiler.go:154] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0817 19:32:38.694006      12 server.go:2307] initialized server successfully in 239.687565ms
ERROR: logging before google.Init: W0817 19:32:38.694347      76 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.694396      76 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.694521      76 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.694548      76 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 19:32:38.696145       1 auto_updater.go:305] Spawned background update process with PID 922833
ERROR: logging before google.Init: I0817 19:32:38.696263       1 common.go:170] Launching CLI mode
ERROR: logging before google.Init: E0817 19:32:38.696292       1 launchsteps.go:77] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0817 19:32:38.697843       1 common.go:208] CLI app data directory: /home/ubuntu/.gemini/antigravity-cli
ERROR: logging before google.Init: I0817 19:32:38.697884       1 server.go:270] Creating CLI server backend: product=antigravity workspaceDirs=[/home/ubuntu/portsentry-ui /home/ubuntu/portsentry-ui] appDataDir=/home/ubuntu/.gemini/antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0817 19:32:38.698007       1 composite_token_storage.go:123] Using file-based token storage because SSH session detected
ERROR: logging before google.Init: I0817 19:32:38.698035       1 auth_provider.go:734] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: I0817 19:32:38.816792       1 server.go:2693] GetConversationDetail: found conversation 459f153c-af03-4539-bcae-c85f20380b4f (active=false)
ERROR: logging before google.Init: I0817 19:32:38.818781       1 common.go:307] project: resuming conversation belonging to project ID: default-cli-project
ERROR: logging before google.Init: I0817 19:32:38.819150       1 common.go:320] project: synced active project to "CLI Project" (id=default-cli-project) from resumed conversation
ERROR: logging before google.Init: I0817 19:32:38.819173       1 server.go:1802] Backend project ID updated dynamically to: default-cli-project
ERROR: logging before google.Init: I0817 19:32:38.819204       1 analytics.go:138] CLI startup completed (took 366.443141ms)
ERROR: logging before google.Init: I0817 19:32:38.819228       1 printmode.go:160] Print mode: starting (promptLength=1800, model="gemini-3.7-flash-high", conversationID="459f153c-af03-4539-bcae-c85f20380b4f")
ERROR: logging before google.Init: W0817 19:32:38.819461     104 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.819515     104 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:32:38.819648     104 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:32:38.819674     104 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
