ERROR: logging before google.Init: I0817 12:22:28.913702       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 12:22:28.913769       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 12:22:28.913970      12 server.go:1464] Starting language server process with pid 822866
ERROR: logging before google.Init: I0817 12:22:28.914314      12 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 12:22:28.914327      12 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 12:22:28.914704      12 server.go:588] Language server listening on random port at 42991 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 12:22:28.914753      12 server.go:596] Language server listening on random port at 33133 for HTTP
ERROR: logging before google.Init: E0817 12:22:29.196493      43 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 12:22:29.196597      43 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 12:22:29.199166      12 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:22:29.199237      12 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:22:29.199381      12 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:22:29.199404      12 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:22:29.199856      12 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:22:29.199885      12 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:22:29.199972      12 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:22:29.199996      12 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 12:22:29.200125      12 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 12:22:29.200150      12 errorreport.go:223] error getting token source: You are not logged into Antigravity.
