ERROR: logging before google.Init: I0817 18:26:12.656277       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 18:26:12.656341       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 18:26:12.656530       7 server.go:1464] Starting language server process with pid 907102
ERROR: logging before google.Init: I0817 18:26:12.656825       7 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 18:26:12.656833       7 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 18:26:12.657155       7 server.go:588] Language server listening on random port at 34869 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 18:26:12.657207       7 server.go:596] Language server listening on random port at 45949 for HTTP
ERROR: logging before google.Init: E0817 18:26:12.864809      40 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 18:26:12.864890      40 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 18:26:12.873954       7 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:26:12.874055       7 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:26:12.874306       7 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:26:12.874348       7 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:26:12.875180       7 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:26:12.875234       7 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:26:12.875335       7 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:26:12.875371       7 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:26:12.875492       7 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
