ERROR: logging before google.Init: I0817 21:00:40.804648       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 21:00:40.804719       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 21:00:40.804908      22 server.go:1464] Starting language server process with pid 944328
ERROR: logging before google.Init: I0817 21:00:40.805225      22 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 21:00:40.805237      22 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 21:00:40.805696      22 server.go:588] Language server listening on random port at 43101 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 21:00:40.805753      22 server.go:596] Language server listening on random port at 43351 for HTTP
ERROR: logging before google.Init: E0817 21:00:41.011459      37 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 21:00:41.011547      37 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 21:00:41.014349      22 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.014413      22 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.014555      22 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.014592      22 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.015026      22 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.015064      22 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.015161      22 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.015184      22 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.015291      22 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.015324      22 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.015399      22 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.015420      22 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.017853      22 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0817 21:00:41.018650      22 defaults.go:759] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0817 21:00:41.018683      22 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: I0817 21:00:41.020315      71 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0817 21:00:41.020373      71 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0817 21:00:41.020394      71 manager.go:87] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 21:00:41.020404      71 manager.go:78] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0817 21:00:41.020410      71 manager.go:87] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 21:00:41.038944      22 server.go:2773] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0817 21:00:41.039119      22 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 21:00:41.039205      22 server.go:2779] State refresh took 0ms
ERROR: logging before google.Init: I0817 21:00:41.039235      22 server.go:2793] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0817 21:00:41.039241      22 server.go:2795] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0817 21:00:41.039246      22 server.go:3054] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0817 21:00:41.039258      22 profiler.go:154] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0817 21:00:41.039633      22 server.go:2307] initialized server successfully in 234.678371ms
ERROR: logging before google.Init: W0817 21:00:41.040063      76 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 21:00:41.040061       1 auto_updater.go:252] Last check was less than 15 minutes ago, skipping update (fast path)
ERROR: logging before google.Init: I0817 21:00:41.040124       1 common.go:170] Launching CLI mode
ERROR: logging before google.Init: E0817 21:00:41.040141      76 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.040145       1 launchsteps.go:77] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: W0817 21:00:41.040283      76 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.040309      76 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.040569      80 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.040605      80 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.040677      80 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.040718      80 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.041559      82 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.041599      82 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.041676      82 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.041699      82 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.042323      83 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.042363      83 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:00:41.042429      83 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:00:41.042453      83 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
