ERROR: logging before google.Init: I0817 19:49:08.657665       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 19:49:08.657793       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 19:49:08.659435      22 server.go:1464] Starting language server process with pid 926649
ERROR: logging before google.Init: I0817 19:49:08.660068      22 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 19:49:08.660085      22 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 19:49:08.660979      22 server.go:588] Language server listening on random port at 45789 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 19:49:08.661040      22 server.go:596] Language server listening on random port at 38593 for HTTP
ERROR: logging before google.Init: E0817 19:49:08.873780      38 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 19:49:08.873885      38 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 19:49:08.876952      22 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.877022      22 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:49:08.877211      22 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.877238      22 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:49:08.877550      41 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.877597      41 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:49:08.877687      41 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.877718      41 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:49:08.877867      50 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.877901      50 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:49:08.877973      50 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.877997      50 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:49:08.878327      42 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.878365      42 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:49:08.878456      42 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:49:08.878497      42 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
