ERROR: logging before google.Init: I0817 19:16:46.651074       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 19:16:46.651173       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 19:16:46.651360       6 server.go:1464] Starting language server process with pid 919120
ERROR: logging before google.Init: I0817 19:16:46.651688       6 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 19:16:46.651696       6 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 19:16:46.652034       6 server.go:588] Language server listening on random port at 41499 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 19:16:46.652082       6 server.go:596] Language server listening on random port at 34539 for HTTP
ERROR: logging before google.Init: E0817 19:16:46.892576      40 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 19:16:46.892692      40 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 19:16:46.893441       6 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.893492       6 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.893626       6 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.893648       6 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.894075       6 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.894131       6 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.894219       6 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.894247       6 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.894353       6 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.894382       6 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.894456       6 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.894474       6 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.894764      51 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.894804      51 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.894881      51 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.894916      51 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.895746      43 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.895789      43 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.895862      43 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.895881      43 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.897943       6 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0817 19:16:46.898808       6 defaults.go:759] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0817 19:16:46.898839       6 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: I0817 19:16:46.899717      74 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0817 19:16:46.899772      74 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0817 19:16:46.899796      74 manager.go:87] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 19:16:46.899806      74 manager.go:78] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0817 19:16:46.899814      74 manager.go:87] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 19:16:46.913067       6 server.go:2773] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0817 19:16:46.913271       6 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 19:16:46.913357       6 server.go:2779] State refresh took 0ms
ERROR: logging before google.Init: I0817 19:16:46.913392       6 server.go:2793] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0817 19:16:46.913398       6 server.go:2795] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0817 19:16:46.913404       6 server.go:3054] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0817 19:16:46.913415       6 profiler.go:154] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0817 19:16:46.913881       6 server.go:2307] initialized server successfully in 262.479029ms
ERROR: logging before google.Init: W0817 19:16:46.914298      86 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.914372      86 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 19:16:46.914515      86 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 19:16:46.914559      86 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 19:16:46.919175       1 auto_updater.go:305] Spawned background update process with PID 919134
ERROR: logging before google.Init: I0817 19:16:46.919306       1 common.go:170] Launching CLI mode
