ERROR: logging before google.Init: I0817 17:32:05.070251       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 17:32:05.070315       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 17:32:05.070508      10 server.go:1464] Starting language server process with pid 894503
ERROR: logging before google.Init: I0817 17:32:05.070806      10 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 17:32:05.070813      10 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 17:32:05.071156      10 server.go:588] Language server listening on random port at 45453 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 17:32:05.071212      10 server.go:596] Language server listening on random port at 34745 for HTTP
ERROR: logging before google.Init: E0817 17:32:05.315119      29 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 17:32:05.315208      29 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 17:32:05.318871      10 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 17:32:05.318982      10 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 17:32:05.319213      10 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 17:32:05.319265      10 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 17:32:05.320537      10 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 17:32:05.320620      10 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 17:32:05.320780      10 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 17:32:05.320811      10 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 17:32:05.321025      10 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 17:32:05.321118      10 errorreport.go:223] error getting token source: You are not logged into Antigravity.
