ERROR: logging before google.Init: I0817 21:45:44.383459       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 21:45:44.383518       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 21:45:44.383697      23 server.go:1464] Starting language server process with pid 954871
ERROR: logging before google.Init: I0817 21:45:44.384031      23 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 21:45:44.384043      23 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 21:45:44.384377      23 server.go:588] Language server listening on random port at 38681 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 21:45:44.384440      23 server.go:596] Language server listening on random port at 42163 for HTTP
ERROR: logging before google.Init: E0817 21:45:44.594335      41 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 21:45:44.594425      41 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 21:45:44.602479      23 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:45:44.602573      23 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:45:44.602736      23 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:45:44.602776      23 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:45:44.603550      23 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:45:44.603608      23 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:45:44.603728      23 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:45:44.603760      23 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:45:44.603913      23 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 21:45:44.603954      23 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 21:45:44.604051      23 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
