ERROR: logging before google.Init: I0817 22:35:36.973070       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 22:35:36.973148       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 22:35:36.973315      21 server.go:1464] Starting language server process with pid 967018
ERROR: logging before google.Init: I0817 22:35:36.973595      21 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 22:35:36.973603      21 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 22:35:36.973898      21 server.go:588] Language server listening on random port at 38527 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 22:35:36.973961      21 server.go:596] Language server listening on random port at 38773 for HTTP
ERROR: logging before google.Init: E0817 22:35:37.184504      40 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 22:35:37.184598      40 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 22:35:37.191678      21 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.191781      21 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.191971      21 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.192008      21 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.192714      21 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.192775      21 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.192889      21 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.192920      21 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.193068      21 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.193134      21 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.193252      21 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.193282      21 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.198877      21 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0817 22:35:37.202886      21 defaults.go:759] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0817 22:35:37.202915      21 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: I0817 22:35:37.203388      70 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0817 22:35:37.203446      70 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0817 22:35:37.203465      70 manager.go:87] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 22:35:37.203474      70 manager.go:78] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0817 22:35:37.203484      70 manager.go:87] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0817 22:35:37.211078      21 server.go:2773] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0817 22:35:37.211225      21 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 22:35:37.211306      21 server.go:2779] State refresh took 0ms
ERROR: logging before google.Init: I0817 22:35:37.211331      21 server.go:2793] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0817 22:35:37.211337      21 server.go:2795] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0817 22:35:37.211342      21 server.go:3054] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0817 22:35:37.211354      21 profiler.go:154] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0817 22:35:37.211717      21 server.go:2307] initialized server successfully in 238.36133ms
ERROR: logging before google.Init: W0817 22:35:37.212197      71 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.212246      71 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.212344      71 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.212369      71 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.213178      75 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.213225      75 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 22:35:37.213334      75 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 22:35:37.213358      75 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 22:35:37.215044       1 auto_updater.go:305] Spawned background update process with PID 967025
ERROR: logging before google.Init: I0817 22:35:37.215150       1 common.go:170] Launching CLI mode
ERROR: logging before google.Init: E0817 22:35:37.215179       1 launchsteps.go:77] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0817 22:35:37.218080       1 common.go:208] CLI app data directory: /home/ubuntu/.gemini/antigravity-cli
ERROR: logging before google.Init: I0817 22:35:37.218123       1 server.go:270] Creating CLI server backend: product=antigravity workspaceDirs=[/home/ubuntu/portsentry-ui /home/ubuntu/portsentry-ui] appDataDir=/home/ubuntu/.gemini/antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0817 22:35:37.218229       1 composite_token_storage.go:123] Using file-based token storage because SSH session detected
ERROR: logging before google.Init: I0817 22:35:37.218254       1 auth_provider.go:734] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: I0817 22:35:37.315207       1 server.go:2693] GetConversationDetail: found conversation 459f153c-af03-4539-bcae-c85f20380b4f (active=false)
ERROR: logging before google.Init: I0817 22:35:37.318898       1 common.go:307] project: resuming conversation belonging to project ID: default-cli-project
ERROR: logging before google.Init: I0817 22:35:37.319160       1 common.go:320] project: synced active project to "CLI Project" (id=default-cli-project) from resumed conversation
ERROR: logging before google.Init: I0817 22:35:37.319179       1 server.go:1802] Backend project ID updated dynamically to: default-cli-project
ERROR: logging before google.Init: I0817 22:35:37.319196       1 analytics.go:138] CLI startup completed (took 347.371953ms)
ERROR: logging before google.Init: I0817 22:35:37.319218       1 printmode.go:160] Print mode: starting (promptLength=1737, model="gemini-3.7-flash-high", conversationID="459f153c-af03-4539-bcae-c85f20380b4f")
ERROR: logging before google.Init: I0817 22:35:37.319232       1 manager.go:386] Initializing CLI store manager for workspace /home/ubuntu/portsentry-ui
