ERROR: logging before google.Init: I0817 18:23:31.857451       1 resolver.go:85] Model ID gemini-3.7-flash-high not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0817 18:23:31.857518       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0817 18:23:31.857694      22 server.go:1464] Starting language server process with pid 906461
ERROR: logging before google.Init: I0817 18:23:31.857969      22 server.go:1516] Language server version: 1.1.13
ERROR: logging before google.Init: I0817 18:23:31.857977      22 server.go:573] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0817 18:23:31.858319      22 server.go:588] Language server listening on random port at 44083 for HTTPS (gRPC)
ERROR: logging before google.Init: I0817 18:23:31.858372      22 server.go:596] Language server listening on random port at 37393 for HTTP
ERROR: logging before google.Init: E0817 18:23:32.063803      39 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0817 18:23:32.063911      39 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0817 18:23:32.071719      22 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:23:32.071819      22 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:23:32.071989      22 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:23:32.072019      22 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:23:32.072745      22 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0817 18:23:32.072823      22 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0817 18:23:32.072953      22 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
